,year,game,groups,status,name,point,rank,cumsum
0,2019,1,A,Q,長屋,13.7,2.0,13.7
1,2019,1,B,Q,諏訪,49.7,1.0,49.7
2,2019,1,B,Q,枝松,18.6,2.0,18.6
3,2019,1,B,Q,浅野,-26.8,3.0,-26.8
4,2019,1,A,Q,中山,-42.7,4.0,-42.7
5,2019,1,A,Q,菊地,-29.6,3.0,-29.6
6,2019,1,B,Q,土橋,-41.5,4.0,-41.5
7,2019,1,A,Q,近藤,58.6,1.0,58.6
8,2019,2,A,Q,長屋,-7.4,3.0,6.299999999999999
9,2019,2,A,Q,諏訪,45.4,1.0,95.1
10,2019,2,B,Q,枝松,42.8,1.0,61.4
11,2019,2,B,Q,浅野,9.9,2.0,-16.9
12,2019,2,A,Q,中山,-52.4,4.0,-95.1
13,2019,2,B,Q,菊地,-35.4,4.0,-65.0
14,2019,2,A,Q,土橋,14.4,2.0,-27.1
15,2019,2,B,Q,近藤,-17.3,3.0,41.3
16,2019,3,A,Q,長屋,64.1,1.0,70.39999999999999
17,2019,3,B,Q,諏訪,50.9,1.0,146.0
18,2019,3,A,Q,枝松,-23.1,3.0,38.3
19,2019,3,A,Q,浅野,1.3,2.0,-15.6
20,2019,3,A,Q,中山,-42.3,4.0,-137.4
21,2019,3,B,Q,菊地,-26.7,3.0,-91.7
22,2019,3,B,Q,土橋,-41.8,4.0,-68.9
23,2019,3,B,Q,近藤,17.6,2.0,58.900000000000006
24,2019,4,B,Q,長屋,59.7,1.0,130.1
25,2019,4,B,Q,諏訪,13.4,2.0,159.4
26,2019,4,B,Q,枝松,-55.5,4.0,-17.200000000000003
27,2019,4,A,Q,浅野,64.0,1.0,48.4
28,2019,4,A,Q,中山,-56.2,4.0,-193.6
29,2019,4,A,Q,菊地,-24.5,3.0,-116.2
30,2019,4,A,Q,土橋,16.7,2.0,-52.2
31,2019,4,B,Q,近藤,-17.6,3.0,41.3
32,2019,5,B,Q,長屋,9.0,2.0,139.1
33,2019,5,A,Q,諏訪,10.1,2.0,169.5
